FrequeE-9cy(Hz)	Temperature(C)	D-Factor(D)	CapacitaE-9ce(F)	ImpedaE-9ce(Ohm)
10000	94	6.606448m	0.432324n	36.813030K
10000	96	6.522659m	0.422863n	37.636690K
10000	98	6.497982m	0.414264n	38.417940K
10000	100	6.503090m	0.405445n	39.253530K
10000	102	6.625585m	0.397655n	40.022450K
10000	104	6.766377m	0.389792n	40.829790K
10000	106	6.942521m	0.382457n	41.612790K
10000	108	7.286279m	0.375118n	42.426860K
10000	110	7.391702m	0.368341n	43.207450K
10000	112	7.576481m	0.361661n	44.005410K
10000	114	7.599749m	0.355500n	44.768000K
10000	116	7.628963m	0.349432n	45.545410K
10000	118	7.668250m	0.343489n	46.333430K
10000	120	7.659693m	0.337726n	47.124050K
10000	122	7.999665m	0.332050n	47.929430K
10000	124	7.985743m	0.326659n	48.720450K
10000	126	7.739512m	0.321530n	49.497660K
10000	128	7.080533m	0.316250n	50.324190K
10000	130	7.996436m	0.311530n	51.086650K
10000	132	7.582427m	0.306585n	51.910610K
10000	134	7.260450m	0.301976n	52.703140K
10000	136	7.346431m	0.297335n	53.525720K
10000	138	7.307111m	0.293014n	54.315230K
10000	140	6.999722m	0.288683n	55.130080K
10000	142	6.962364m	0.284435n	55.953570K
10000	144	6.946202m	0.280400n	56.758610K
10000	146	6.885432m	0.276440n	57.571600K
10000	148	6.960495m	0.272644n	58.373170K
10000	150	7.299024m	0.268796n	59.208700K
10000	152	8.171534m	0.265143n	60.024210K
10000	154	8.736676m	0.261668n	60.821010K
10000	156	8.951461m	0.258137n	61.652790K
10000	158	9.252310m	0.254850n	62.447820K
10000	160	0.010229	0.251592n	63.255690K
10000	162	0.010333	0.248436n	64.059170K
10000	164	0.010491	0.245278n	64.883860K
10000	166	0.010334	0.242321n	65.675880K
10000	168	0.010361	0.239250n	66.518720K
10000	170	0.010346	0.236344n	67.336790K
10000	172	0.010465	0.233521n	68.150760K
10000	174	0.010729	0.230786n	68.958190K
10000	176	0.011091	0.228049n	69.785440K
10000	178	0.011536	0.225427n	70.596820K
10000	180	0.012212	0.222821n	71.422080K
10000	182	0.012835	0.220280n	72.245150K
10000	184	0.013594	0.217882n	73.039600K
10000	186	0.014577	0.215436n	73.867910K
10000	188	0.015568	0.213119n	74.669640K
10000	190	0.016672	0.210789n	75.493980K
10000	192	0.017962	0.208556n	76.300390K
10000	194	0.019315	0.206349n	77.114490K
10000	196	0.020822	0.204160n	77.939330K
10000	198	0.022566	0.202032n	78.757160K
10000	200	0.024316	0.200008n	79.550770K
15000	26	0.026488	1.190867n	8.906634K
15000	28	0.026326	1.162433n	9.124526K
15000	30	0.025513	1.134148n	9.352292K
15000	32	0.023251	1.099409n	9.648331K
15000	34	0.021838	1.059406n	10.012970K
15000	36	0.020888	1.028710n	10.311970K
15000	38	0.020246	0.993357n	10.679090K
15000	40	0.019783	0.960884n	11.040100K
15000	42	0.019253	0.928170n	11.429340K
15000	44	0.018780	0.896380n	11.834780K
15000	46	0.018502	0.866099n	12.248620K
15000	48	0.018139	0.836209n	12.686550K
15000	50	0.017766	0.808219n	13.125950K
15000	52	0.017483	0.780570n	13.590980K
15000	54	0.017035	0.755575n	14.040680K
15000	56	0.016627	0.730491n	14.522920K
15000	58	0.016294	0.707275n	14.999700K
15000	60	0.015954	0.685053n	15.486380K
15000	62	0.015569	0.664016n	15.977080K
15000	64	0.015125	0.643522n	16.486030K
15000	66	0.014548	0.625168n	16.970160K
15000	68	0.013962	0.607292n	17.469840K
15000	70	0.013453	0.589411n	17.999960K
15000	72	0.012888	0.572736n	18.524150K
15000	74	0.012485	0.556145n	19.076870K
15000	76	0.011892	0.540698n	19.622010K
15000	78	0.011332	0.525898n	20.174350K
15000	80	0.010390	0.511407n	20.746210K
15000	82	9.868984m	0.498087n	21.301130K
15000	84	9.447638m	0.485690n	21.844900K
15000	86	8.995731m	0.473418n	22.411270K
15000	88	8.744647m	0.462575n	22.936690K
15000	90	8.355354m	0.451076n	23.521460K
15000	92	8.086854m	0.441627n	24.024730K
15000	94	7.901175m	0.431655n	24.579810K
15000	96	7.704093m	0.422201n	25.130240K
15000	98	7.620094m	0.413719n	25.645470K
15000	100	7.890683m	0.404868n	26.206100K
15000	102	7.752579m	0.397059n	26.721480K
15000	104	7.750141m	0.389203n	27.260820K
15000	106	7.903592m	0.381899n	27.782220K
15000	108	8.169733m	0.374634n	28.320890K
15000	110	8.329684m	0.367799n	28.847130K
15000	112	8.432869m	0.361086n	29.383520K
15000	114	8.576512m	0.354934n	29.892670K
15000	116	8.587592m	0.348905n	30.409290K
15000	118	8.725833m	0.342918n	30.940150K
15000	120	8.606735m	0.337176n	31.467030K
15000	122	8.742277m	0.331606n	31.995560K
15000	124	8.750788m	0.326244n	32.521460K
15000	126	8.707294m	0.321136n	33.038770K
15000	128	8.482718m	0.315960n	33.580010K
15000	130	8.684648m	0.311142n	34.099930K
15000	132	8.336865m	0.306208n	34.649550K
15000	134	8.219298m	0.301643n	35.173990K
15000	136	7.988842m	0.297016n	35.721950K
15000	138	7.800183m	0.292747n	36.242930K
15000	140	7.537834m	0.288389n	36.790720K
15000	142	7.279328m	0.284199n	37.333070K
15000	144	7.408687m	0.280152n	37.872390K
15000	146	7.220206m	0.276193n	38.415310K
15000	148	7.311297m	0.272409n	38.949020K
15000	150	7.715560m	0.268576n	39.504650K
15000	152	8.771681m	0.264938n	40.046810K
15000	154	9.416982m	0.261447n	40.581270K
15000	156	9.642130m	0.257932n	41.134260K
15000	158	9.895951m	0.254646n	41.665010K
15000	160	0.011269	0.251366n	42.208020K
15000	162	0.011404	0.248305n	42.728290K
15000	164	0.011120	0.245053n	43.295430K
15000	166	0.010656	0.242098n	43.823940K
15000	168	0.010245	0.239038n	44.385240K
15000	170	9.952780m	0.236178n	44.922910K
15000	172	9.833579m	0.233355n	45.466460K
15000	174	9.689494m	0.230594n	46.010830K
15000	176	9.697305m	0.227858n	46.563430K
15000	178	9.797869m	0.225226n	47.107320K
15000	180	0.010141	0.222627n	47.657180K
15000	182	0.010229	0.220095n	48.205250K
15000	184	0.010912	0.217682n	48.739570K
15000	186	0.011345	0.215228n	49.294880K
15000	188	0.012133	0.212866n	49.841260K
15000	190	0.012744	0.210523n	50.395680K
15000	192	0.013669	0.208268n	50.940850K
15000	194	0.014519	0.206074n	51.482660K
15000	196	0.015452	0.203973n	52.011860K
15000	198	0.016836	0.201813n	52.567890K
15000	200	0.017936	0.199730n	53.114990K
20000	26	0.026830	1.185846n	6.708194K
20000	28	0.026868	1.157395n	6.873094K
20000	30	0.025965	1.129444n	7.043348K
20000	32	0.023246	1.095090n	7.264770K
20000	34	0.021747	1.055313n	7.538867K
20000	36	0.020638	1.024940n	7.762441K
20000	38	0.020116	0.989798n	8.038145K
20000	40	0.019701	0.957545n	8.308966K
20000	42	0.019199	0.924986n	8.601511K
20000	44	0.018801	0.893329n	8.906397K
20000	46	0.018426	0.863194n	9.217364K
20000	48	0.018164	0.833436n	9.546545K
20000	50	0.018026	0.805580n	9.876684K
20000	52	0.017827	0.778027n	10.226490K
20000	54	0.017530	0.753149n	10.564350K
20000	56	0.017153	0.728131n	10.927400K
20000	58	0.016967	0.705103n	11.284300K
20000	60	0.016672	0.682905n	11.651170K
20000	62	0.016480	0.661962n	12.019820K
20000	64	0.016176	0.641544n	12.402450K
20000	66	0.015633	0.623362n	12.764300K
20000	68	0.015162	0.605617n	13.138380K
20000	70	0.014767	0.587897n	13.534500K
20000	72	0.014317	0.571314n	13.927430K
20000	74	0.013883	0.554798n	14.342100K
20000	76	0.013496	0.539515n	14.748480K
20000	78	0.012843	0.524819n	15.161600K
20000	80	0.011659	0.510437n	15.589000K
20000	82	0.011148	0.497176n	16.004890K
20000	84	0.010767	0.484868n	16.411230K
20000	86	0.010321	0.472694n	16.833950K
20000	88	9.935351m	0.461833n	17.229910K
20000	90	9.530039m	0.450414n	17.666810K
20000	92	9.271397m	0.441005n	18.043810K
20000	94	9.223156m	0.431045n	18.460770K
20000	96	8.769955m	0.421685n	18.870560K
20000	98	8.812925m	0.413176n	19.259160K
20000	100	8.738712m	0.404404n	19.676960K
20000	102	8.890326m	0.396634n	20.062440K
20000	104	8.747305m	0.388778n	20.467820K
20000	106	8.890488m	0.381484n	20.859150K
20000	108	9.361886m	0.374101n	21.270710K
20000	110	9.441926m	0.367386n	21.659510K
20000	112	9.385468m	0.360679n	22.062200K
20000	114	9.453145m	0.354493n	22.447230K
20000	116	9.707450m	0.348424n	22.838200K
20000	118	9.663340m	0.342494n	23.233640K
20000	120	9.728706m	0.336809n	23.625800K
20000	122	9.966912m	0.331179n	24.027420K
20000	124	9.890130m	0.325842n	24.420920K
20000	126	9.815823m	0.320735n	24.809770K
20000	128	9.688456m	0.315574n	25.215550K
20000	130	9.738942m	0.310854n	25.598340K
20000	132	9.309352m	0.305892n	26.013740K
20000	134	9.375392m	0.301370n	26.404060K
20000	136	9.098603m	0.296777n	26.812810K
20000	138	9.105692m	0.292457n	27.208960K
20000	140	8.537403m	0.288148n	27.615860K
20000	142	8.349683m	0.283952n	28.024050K
20000	144	8.338108m	0.279920n	28.427730K
20000	146	7.970176m	0.275981n	28.833430K
20000	148	8.003259m	0.272167n	29.237520K
20000	150	8.622913m	0.268418n	29.645740K
20000	152	0.010171	0.264767n	30.054090K
20000	154	0.010727	0.261232n	30.460470K
20000	156	0.011080	0.257717n	30.875900K
20000	158	0.011287	0.254462n	31.270890K
20000	160	0.013139	0.251215n	31.674350K
20000	162	0.013235	0.248029n	32.081280K
20000	164	0.012653	0.244877n	32.494430K
20000	166	0.012037	0.241914n	32.892670K
20000	168	0.011064	0.238860n	33.313390K
20000	170	0.010508	0.236052n	33.709860K
20000	172	9.930358m	0.233206n	34.121540K
20000	174	9.955856m	0.230429n	34.532830K
20000	176	9.616831m	0.227673n	34.950900K
20000	178	9.414823m	0.225017n	35.363460K
20000	180	9.599729m	0.222417n	35.776870K
20000	182	9.781324m	0.219975n	36.173950K
20000	184	9.732566m	0.217525n	36.581260K
20000	186	0.010149	0.215076n	36.997710K
20000	188	0.010698	0.212701n	37.410730K
20000	190	0.010966	0.210388n	37.821790K
20000	192	0.011653	0.208192n	38.220640K
20000	194	0.012296	0.205956n	38.635060K
20000	196	0.012957	0.203838n	39.036070K
20000	198	0.013962	0.201673n	39.455010K
20000	200	0.014922	0.199562n	39.871640K
25000	26	0.027382	1.182142n	5.383285K
25000	28	0.027410	1.153673n	5.516117K
25000	30	0.026664	1.125826n	5.652690K
25000	32	0.023500	1.091854n	5.829017K
25000	34	0.021899	1.052365n	6.047954K
25000	36	0.020704	1.022246n	6.226321K
25000	38	0.020188	0.987251n	6.447098K
25000	40	0.019705	0.955096n	6.664164K
25000	42	0.019338	0.922580n	6.899136K
25000	44	0.018964	0.891001n	7.143720K
25000	46	0.018717	0.861094n	7.391859K
25000	48	0.018362	0.831406n	7.655861K
25000	50	0.018305	0.803583n	7.920939K
25000	52	0.018164	0.776134n	8.201092K
25000	54	0.017732	0.751353n	8.471649K
25000	56	0.017560	0.726406n	8.762614K
25000	58	0.017440	0.703338n	9.050027K
25000	60	0.017318	0.681316n	9.342566K
25000	62	0.017177	0.660430n	9.638054K
25000	64	0.016977	0.640121n	9.943870K
25000	66	0.016496	0.621985n	10.233910K
25000	68	0.016089	0.604340n	10.532790K
25000	70	0.015761	0.586548n	10.852310K
25000	72	0.015317	0.570109n	11.165340K
25000	74	0.015308	0.553890n	11.492290K
25000	76	0.014570	0.538399n	11.823030K
25000	78	0.014015	0.523863n	12.151210K
25000	80	0.012836	0.509625n	12.490900K
25000	82	0.012344	0.496440n	12.822700K
25000	84	0.011923	0.484128n	13.148880K
25000	86	0.011584	0.472020n	13.486250K
25000	88	0.011212	0.461252n	13.801120K
25000	90	0.010573	0.449861n	14.150700K
25000	92	0.010354	0.440430n	14.453740K
25000	94	0.010073	0.430605n	14.783540K
25000	96	9.871973m	0.421256n	15.111700K
25000	98	9.810598m	0.412772n	15.422290K
25000	100	9.810237m	0.403976n	15.758100K
25000	102	9.810584m	0.396226n	16.066300K
25000	104	9.608809m	0.388379n	16.390920K
25000	106	9.954436m	0.381074n	16.705090K
25000	108	0.010277	0.373745n	17.032650K
25000	110	0.010279	0.367027n	17.344390K
25000	112	0.010566	0.360304n	17.667980K
25000	114	0.010514	0.354138n	17.975610K
25000	116	0.010569	0.348133n	18.285670K
25000	118	0.010700	0.342214n	18.601880K
25000	120	0.010743	0.336468n	18.919550K
25000	122	0.010827	0.330902n	19.237770K
25000	124	0.010961	0.325509n	19.556520K
25000	126	0.010886	0.320499n	19.862210K
25000	128	0.010796	0.315347n	20.186750K
25000	130	0.011281	0.310524n	20.500180K
25000	132	0.010690	0.305671n	20.825770K
25000	134	0.010332	0.301112n	21.141170K
25000	136	0.010118	0.296505n	21.469650K
25000	138	0.010017	0.292251n	21.782230K
25000	140	9.647943m	0.287986n	22.104910K
25000	142	9.155221m	0.283706n	22.438470K
25000	144	9.272491m	0.279751n	22.755700K
25000	146	8.964007m	0.275816n	23.080430K
25000	148	8.926256m	0.272030n	23.401680K
25000	150	9.576823m	0.268201n	23.735550K
25000	152	0.011283	0.264562n	24.061580K
25000	154	0.012440	0.261082n	24.382050K
25000	156	0.012522	0.257551n	24.716280K
25000	158	0.012829	0.254315n	25.030710K
25000	160	0.014752	0.251044n	25.356100K
25000	162	0.014841	0.247918n	25.675880K
25000	164	0.014099	0.244739n	26.009610K
25000	166	0.013495	0.241781n	26.328040K
25000	168	0.012232	0.238738n	26.663980K
25000	170	0.011427	0.235860n	26.989640K
25000	172	0.010703	0.233057n	27.314530K
25000	174	0.010075	0.230279n	27.644140K
25000	176	9.730846m	0.227474n	27.985050K
25000	178	9.692484m	0.224937n	28.300820K
25000	180	9.391681m	0.222315n	28.634580K
25000	182	9.266237m	0.219780n	28.964940K
25000	184	9.604499m	0.217397n	29.282390K
25000	186	9.567462m	0.214959n	29.614560K
25000	188	0.010255	0.212614n	29.940990K
25000	190	0.010503	0.210216n	30.282410K
25000	192	0.010810	0.208049n	30.597760K
25000	194	0.011344	0.205763n	30.937410K
25000	196	0.011639	0.203695n	31.251490K
25000	198	0.012310	0.201464n	31.597300K
25000	200	0.013224	0.199448n	31.916280K
30000	26	0.028010	1.179446n	4.496249K
30000	28	0.028101	1.150850n	4.607959K
30000	30	0.027394	1.123174n	4.721593K
30000	32	0.023916	1.089357n	4.868602K
30000	34	0.022191	1.050061n	5.050998K
30000	36	0.020868	1.020006n	5.199981K
30000	38	0.020352	0.985179n	5.383862K
30000	40	0.019940	0.953122n	5.564980K
30000	42	0.019532	0.920754n	5.760662K
30000	44	0.019103	0.889313n	5.964375K
30000	46	0.018971	0.859397n	6.172016K
30000	48	0.018627	0.829789n	6.392278K
30000	50	0.018608	0.802026n	6.613557K
30000	52	0.018556	0.774625n	6.847511K
30000	54	0.018250	0.749896n	7.073357K
30000	56	0.017985	0.724999n	7.316296K
30000	58	0.017940	0.702071n	7.555227K
30000	60	0.017800	0.680080n	7.799559K
30000	62	0.017808	0.659194n	8.046683K
30000	64	0.017604	0.638919n	8.302051K
30000	66	0.017182	0.620842n	8.543855K
30000	68	0.016789	0.603221n	8.793483K
30000	70	0.016543	0.585527n	9.059261K
30000	72	0.016189	0.569098n	9.320833K
30000	74	0.015998	0.552766n	9.596236K
30000	76	0.015669	0.537602n	9.866982K
30000	78	0.015101	0.523012n	10.142320K
30000	80	0.013870	0.508817n	10.425470K
30000	82	0.013338	0.495709n	10.701220K
30000	84	0.012908	0.483483n	10.971890K
30000	86	0.012507	0.471397n	11.253240K
30000	88	0.012217	0.460673n	11.515260K
30000	90	0.011599	0.449329n	11.806070K
30000	92	0.011378	0.439971n	12.057210K
30000	94	0.011188	0.430169n	12.331980K
30000	96	0.010761	0.420823n	12.605900K
30000	98	0.010823	0.412377n	12.864100K
30000	100	0.010812	0.403706n	13.140400K
30000	102	0.010784	0.395897n	13.399590K
30000	104	0.010584	0.388053n	13.670470K
30000	106	0.010859	0.380765n	13.932080K
30000	108	0.011161	0.373409n	14.206510K
30000	110	0.011282	0.366679n	14.467230K
30000	112	0.011539	0.360020n	14.734800K
30000	114	0.011529	0.353857n	14.991390K
30000	116	0.011549	0.347823n	15.251460K
30000	118	0.011696	0.341900n	15.515670K
30000	120	0.011672	0.336179n	15.779710K
30000	122	0.011850	0.330644n	16.043820K
30000	124	0.012003	0.325269n	16.308910K
30000	126	0.011986	0.320224n	16.565860K
30000	128	0.011929	0.315075n	16.836560K
30000	130	0.012466	0.310284n	17.096430K
30000	132	0.011712	0.305420n	17.368910K
30000	134	0.011468	0.300907n	17.629410K
30000	136	0.011256	0.296315n	17.902650K
30000	138	0.011038	0.292016n	18.166290K
30000	140	0.010443	0.287758n	18.435200K
30000	142	0.010086	0.283567n	18.707750K
30000	144	0.010014	0.279567n	18.975400K
30000	146	9.849412m	0.275652n	19.244920K
30000	148	9.672626m	0.271845n	19.514470K
30000	150	0.010658	0.268043n	19.791120K
30000	152	0.012679	0.264407n	20.062800K
30000	154	0.013893	0.260948n	20.328350K
30000	156	0.014033	0.257442n	20.605220K
30000	158	0.014412	0.254172n	20.870180K
30000	160	0.016864	0.250877n	21.143460K
30000	162	0.016715	0.247780n	21.407840K
30000	164	0.015819	0.244630n	21.683710K
30000	166	0.014802	0.241656n	21.950890K
30000	168	0.013548	0.238614n	22.231230K
30000	170	0.012376	0.235750n	22.501600K
30000	172	0.011478	0.232922n	22.775070K
30000	174	0.010575	0.230193n	23.045260K
30000	176	0.010193	0.227456n	23.322720K
30000	178	9.751978m	0.224837n	23.594430K
30000	180	9.503878m	0.222260n	23.868080K
30000	182	9.417788m	0.219704n	24.145840K
30000	184	9.509556m	0.217277n	24.415500K
30000	186	9.412294m	0.214839n	24.692550K
30000	188	9.785582m	0.212484n	24.966120K
30000	190	0.010004	0.210147n	25.243820K
30000	192	0.010325	0.207894n	25.517310K
30000	194	0.010552	0.205729n	25.785620K
30000	196	0.011076	0.203542n	26.062670K
30000	198	0.011584	0.201376n	26.342780K
30000	200	0.012191	0.199302n	26.616820K
35000	26	0.028862	1.177115n	3.861469K
35000	28	0.028982	1.148434n	3.957887K
35000	30	0.028288	1.120845n	4.055388K
35000	32	0.024341	1.087330n	4.180824K
35000	34	0.022505	1.048234n	4.336945K
35000	36	0.021069	1.018286n	4.464636K
35000	38	0.020613	0.983584n	4.622195K
35000	40	0.020261	0.951495n	4.778111K
35000	42	0.019827	0.919227n	4.945883K
35000	44	0.019401	0.887851n	5.120708K
35000	46	0.019320	0.858008n	5.298825K
35000	48	0.019025	0.828478n	5.487727K
35000	50	0.019013	0.800789n	5.677480K
35000	52	0.019006	0.773417n	5.878406K
35000	54	0.018694	0.748699n	6.072519K
35000	56	0.018449	0.723875n	6.280792K
35000	58	0.018479	0.700955n	6.486157K
35000	60	0.018336	0.678995n	6.695947K
35000	62	0.018447	0.658202n	6.907469K
35000	64	0.018257	0.637924n	7.127064K
35000	66	0.017878	0.619888n	7.334483K
35000	68	0.017545	0.602277n	7.548999K
35000	70	0.017292	0.584641n	7.776742K
35000	72	0.017033	0.568265n	8.000892K
35000	74	0.016949	0.551991n	8.236788K
35000	76	0.016583	0.536811n	8.469764K
35000	78	0.016067	0.522260n	8.705805K
35000	80	0.014689	0.508144n	8.947849K
35000	82	0.014191	0.495069n	9.184228K
35000	84	0.013811	0.482894n	9.415832K
35000	86	0.013451	0.470840n	9.656936K
35000	88	0.013160	0.460145n	9.881421K
35000	90	0.012521	0.448851n	10.130140K
35000	92	0.012283	0.439532n	10.344960K
35000	94	0.012035	0.429753n	10.580380K
35000	96	0.011710	0.420425n	10.815190K
35000	98	0.011707	0.412015n	11.035940K
35000	100	0.011669	0.403247n	11.275890K
35000	102	0.011655	0.395544n	11.495500K
35000	104	0.011434	0.387740n	11.726900K
35000	106	0.011746	0.380449n	11.951610K
35000	108	0.012188	0.373131n	12.185940K
35000	110	0.012330	0.366382n	12.410390K
35000	112	0.012425	0.359737n	12.639590K
35000	114	0.012486	0.353606n	12.858760K
35000	116	0.012580	0.347561n	13.082360K
35000	118	0.012665	0.341645n	13.308870K
35000	120	0.012674	0.335930n	13.535330K
35000	122	0.012916	0.330386n	13.762390K
35000	124	0.013115	0.325042n	13.988630K
35000	126	0.013087	0.319991n	14.209440K
35000	128	0.013018	0.314868n	14.440630K
35000	130	0.013640	0.310081n	14.663480K
35000	132	0.012781	0.305243n	14.896070K
35000	134	0.012548	0.300711n	15.120600K
35000	136	0.012342	0.296142n	15.353920K
35000	138	0.012139	0.291858n	15.579340K
35000	140	0.011387	0.287594n	15.810430K
35000	142	0.011087	0.283410n	16.043900K
35000	144	0.011004	0.279434n	16.272200K
35000	146	0.010766	0.275512n	16.503900K
35000	148	0.010642	0.271724n	16.733970K
35000	150	0.011746	0.267930n	16.970720K
35000	152	0.014058	0.264296n	17.203570K
35000	154	0.015458	0.260827n	17.432000K
35000	156	0.015646	0.257322n	17.669450K
35000	158	0.016030	0.254056n	17.896430K
35000	160	0.018673	0.250759n	18.130860K
35000	162	0.018710	0.247640n	18.359320K
35000	164	0.017708	0.244494n	18.595860K
35000	166	0.016473	0.241531n	18.824410K
35000	168	0.014844	0.238525n	19.062110K
35000	170	0.013497	0.235646n	19.295310K
35000	172	0.012312	0.232820n	19.529850K
35000	174	0.011328	0.230084n	19.762340K
35000	176	0.010781	0.227354n	19.999780K
35000	178	0.010144	0.224730n	20.233350K
35000	180	9.813392m	0.222156n	20.467930K
35000	182	9.555484m	0.219604n	20.705790K
35000	184	9.470338m	0.217187n	20.936190K
35000	186	9.462624m	0.214743n	21.174520K
35000	188	9.585749m	0.212404n	21.407670K
35000	190	9.847272m	0.210075n	21.645040K
35000	192	9.928638m	0.207801n	21.881780K
35000	194	0.010491	0.205553n	22.121040K
35000	196	0.010611	0.203475n	22.346870K
35000	198	0.010978	0.201305n	22.587700K
35000	200	0.011460	0.199238n	22.821890K
40000	26	0.029773	1.175161n	3.384311K
40000	28	0.029939	1.146311n	3.469465K
40000	30	0.029292	1.118852n	3.554683K
40000	32	0.024930	1.085494n	3.664353K
40000	34	0.022997	1.046592n	3.800737K
40000	36	0.021441	1.016754n	3.912409K
40000	38	0.020993	0.982127n	4.050390K
40000	40	0.020593	0.950195n	4.186545K
40000	42	0.020138	0.918008n	4.333370K
40000	44	0.019747	0.886679n	4.486519K
40000	46	0.019689	0.856884n	4.642525K
40000	48	0.019458	0.827350n	4.808270K
40000	50	0.019521	0.799712n	4.974439K
40000	52	0.019517	0.772370n	5.150527K
40000	54	0.019170	0.747710n	5.320437K
40000	56	0.018964	0.722888n	5.503148K
40000	58	0.019026	0.700018n	5.682934K
40000	60	0.018944	0.678092n	5.866703K
40000	62	0.019067	0.657293n	6.052329K
40000	64	0.018917	0.637056n	6.244607K
40000	66	0.018525	0.619057n	6.426200K
40000	68	0.018154	0.601517n	6.613633K
40000	70	0.018117	0.583870n	6.813548K
40000	72	0.017806	0.567493n	7.010204K
40000	74	0.017807	0.551257n	7.216677K
40000	76	0.017461	0.536121n	7.420459K
40000	78	0.016920	0.521599n	7.627125K
40000	80	0.015466	0.507523n	7.838855K
40000	82	0.014940	0.494483n	8.045634K
40000	84	0.014629	0.482346n	8.248119K
40000	86	0.014289	0.470312n	8.459215K
40000	88	0.014026	0.459680n	8.654892K
40000	90	0.013354	0.448407n	8.872562K
40000	92	0.013165	0.439107n	9.060505K
40000	94	0.012892	0.429354n	9.266342K
40000	96	0.012550	0.420066n	9.471275K
40000	98	0.012549	0.411666n	9.664533K
40000	100	0.012504	0.402935n	9.873956K
40000	102	0.012524	0.395225n	10.066580K
40000	104	0.012318	0.387449n	10.268640K
40000	106	0.012664	0.380178n	10.464980K
40000	108	0.013075	0.372862n	10.670250K
40000	110	0.013229	0.366154n	10.865730K
40000	112	0.013415	0.359460n	11.068030K
40000	114	0.013469	0.353356n	11.259220K
40000	116	0.013514	0.347308n	11.455290K
40000	118	0.013622	0.341425n	11.652630K
40000	120	0.013708	0.335691n	11.851660K
40000	122	0.013928	0.330161n	12.050160K
40000	124	0.014226	0.324838n	12.247570K
40000	126	0.014146	0.319771n	12.441640K
40000	128	0.014110	0.314666n	12.643470K
40000	130	0.014869	0.309891n	12.838170K
40000	132	0.013888	0.305066n	13.041390K
40000	134	0.013635	0.300534n	13.238110K
40000	136	0.013456	0.295966n	13.442460K
40000	138	0.013225	0.291702n	13.638990K
40000	140	0.012351	0.287444n	13.841180K
40000	142	0.012083	0.283263n	14.045540K
40000	144	0.011898	0.279286n	14.245590K
40000	146	0.011665	0.275379n	14.447740K
40000	148	0.011584	0.271608n	14.648330K
40000	150	0.012860	0.267773n	14.857900K
40000	152	0.015436	0.264186n	15.059090K
40000	154	0.017048	0.260724n	15.258660K
40000	156	0.017190	0.257205n	15.467390K
40000	158	0.017595	0.253945n	15.665820K
40000	160	0.020721	0.250657n	15.870330K
40000	162	0.020621	0.247517n	16.071740K
40000	164	0.019468	0.244404n	16.276890K
40000	166	0.017987	0.241438n	16.477240K
40000	168	0.016183	0.238415n	16.686680K
40000	170	0.014598	0.235573n	16.888400K
40000	172	0.013228	0.232726n	17.095310K
40000	174	0.012087	0.229995n	17.298580K
40000	176	0.011275	0.227271n	17.506100K
40000	178	0.010643	0.224655n	17.710050K
40000	180	0.010176	0.222067n	17.916530K
40000	182	9.869932m	0.219529n	18.123750K
40000	184	9.682998m	0.217101n	18.326460K
40000	186	9.591444m	0.214663n	18.534610K
40000	188	9.535655m	0.212311n	18.739920K
40000	190	9.652753m	0.209994n	18.946690K
40000	192	9.817921m	0.207734n	19.152800K
40000	194	0.010008	0.205517n	19.359390K
40000	196	0.010246	0.203396n	19.561240K
40000	198	0.010623	0.201238n	19.770880K
40000	200	0.011020	0.199169n	19.976200K
45000	26	0.030761	1.173447n	3.012580K
45000	28	0.030887	1.144442n	3.088910K
45000	30	0.030276	1.117054n	3.164708K
45000	32	0.025571	1.083919n	3.261884K
45000	34	0.023491	1.045112n	3.383167K
45000	36	0.021883	1.015369n	3.482408K
45000	38	0.021430	0.980827n	3.605084K
45000	40	0.021042	0.948944n	3.726241K
45000	42	0.020607	0.916792n	3.856956K
45000	44	0.020208	0.885547n	3.993073K
45000	46	0.020179	0.855811n	4.131817K
45000	48	0.019870	0.826370n	4.279050K
45000	50	0.020016	0.798767n	4.426909K
45000	52	0.020047	0.771459n	4.583612K
45000	54	0.019635	0.746841n	4.734734K
45000	56	0.019521	0.722021n	4.897506K
45000	58	0.019602	0.699155n	5.057673K
45000	60	0.019550	0.677276n	5.221062K
45000	62	0.019739	0.656490n	5.386352K
45000	64	0.019624	0.636297n	5.557302K
45000	66	0.019248	0.618300n	5.719105K
45000	68	0.018921	0.600755n	5.886168K
45000	70	0.018767	0.583143n	6.063953K
45000	72	0.018567	0.566824n	6.238568K
45000	74	0.018599	0.550577n	6.422650K
45000	76	0.018285	0.535484n	6.603716K
45000	78	0.017813	0.521008n	6.787258K
45000	80	0.016220	0.506946n	6.975714K
45000	82	0.015704	0.493949n	7.159326K
45000	84	0.015393	0.481816n	7.339641K
45000	86	0.015087	0.469829n	7.526945K
45000	88	0.014860	0.459229n	7.700700K
45000	90	0.014138	0.447983n	7.894106K
45000	92	0.013985	0.438697n	8.061205K
45000	94	0.013748	0.428989n	8.243672K
45000	96	0.013399	0.419700n	8.426161K
45000	98	0.013401	0.411322n	8.597788K
45000	100	0.013399	0.402610n	8.783830K
45000	102	0.013389	0.394931n	8.954619K
45000	104	0.013147	0.387159n	9.134405K
45000	106	0.013527	0.379890n	9.309161K
45000	108	0.014062	0.372599n	9.491252K
45000	110	0.014211	0.365868n	9.665833K
45000	112	0.014357	0.359220n	9.844700K
